,log2exp,logFC,pval,FDR
Sod3,7.31168525326128,-2.26414342677626,5.504428947382131e-09,1.95783535777262e-08
Plxnc1,8.66895883040251,2.26255759405656,1.0713968705602501e-20,1.01313059741431e-19
Esf1,7.08421784541344,2.26148092080182,4.41444500176153e-44,1.5786102921393597e-42
Ppp1r12a,7.33166342149008,2.26012938628251,8.66663955936902e-43,2.95579195460537e-41
Nsa2,8.8216632736836,2.25938749024056,1.5245841119732001e-68,1.31341931256808e-66
Ep300,9.47750531736971,2.25504150124884,2.3019316789319597e-42,7.712052420300589e-41
Nasp,7.22125144685465,2.25490449405866,2.33436161920097e-53,1.24377412055981e-51
Luc7l3,7.2435045962665,2.25483705497637,2.57291955724309e-54,1.43343527655608e-52
Fcho2,9.12275610985582,2.25304365390128,6.34570612294137e-61,4.2094241566531605e-59
Rufy1,8.99156121180802,2.2520862171622,7.3323700111367e-14,4.0164555300475e-13
Clk4,8.31741261376487,2.25204446235469,6.30888408455858e-14,3.47880154404982e-13
Rsl1d1,8.50338407411938,2.25079904047942,1.23078760737097e-24,1.54045841386704e-23
Plekhg1,10.6795656225911,2.24380786447258,5.55548826174194e-24,6.66407439136802e-23
Dld,10.1267403175341,2.24343006997131,3.68746809003466e-65,2.92943947008921e-63
Ccdc91,7.85668488953246,2.24338457788985,1.33419138224287e-17,9.95540892475602e-17
Sept11,10.8761172083892,2.24247268060967,2.04020538599141e-61,1.39522705443031e-59
Pcmtd1,7.55234888997974,2.24232717494723,3.85223426801242e-40,1.15367024906819e-38
Eps15,9.41745698505727,2.24220444180809,8.631866438428e-97,1.6841025299797699e-94
Tlk1,8.6899737128243,2.24214242294384,3.69960339932686e-52,1.83144172756976e-50
Fgd4,8.10710807366161,2.23964911515132,3.2301403112206e-48,1.3647857168459802e-46
Fam83h,8.06836776941532,-2.23357442987771,8.9561681943205e-30,1.5136494704974499e-28
Stxbp3,8.10801617153315,2.23345843053275,5.80776998380856e-47,2.3419964855680302e-45
Cdc73,9.43757870273367,2.22823874567314,1.23436664117985e-68,1.0703491652636e-66
Huwe1,10.1230436281749,2.22640944994729,1.14662401360189e-40,3.51322420056726e-39
Trim30a,8.78683682732273,2.22530637788385,4.33130384413927e-10,1.7102204791724902e-09
Ccdc50,8.49568850122866,2.22498398160344,2.1681735258415401e-47,8.82366814949072e-46
Cep57,7.41580044185867,2.22453832547684,6.29605765244489e-50,2.8704397551541697e-48
Snx4,9.78561139653511,2.22442738175771,4.26562868430842e-51,2.05789439108072e-49
Mettl9,12.5409285063011,-2.22410492341593,2.30577397924639e-91,3.87224093451416e-89
Cyfip1,11.8971941975392,2.22390553678699,3.69609782121324e-24,4.49460401411879e-23
Zcchc7,7.35057091222959,2.22302407424872,3.1841209112131196e-42,1.0640738571552698e-40
Vwa5a,10.2506849667993,2.2228668806482,1.07393895265875e-10,4.48754270391294e-10
F630028O10Rik,7.70755086509211,-2.22175157090366,3.35514689398847e-31,6.2605814124536e-30
Hist1h2ab,12.2640597204559,-2.22146519531521,1.44091923451564e-17,1.0727651786935499e-16
Ssh2,9.54982476898718,2.21958174616306,1.04763922799404e-56,6.09606563061271e-55
Idh1,10.9505457719836,2.21956061289297,1.29058414958587e-27,1.95458674800865e-26
Osbpl9,10.0190404627503,2.21900471911925,2.41007629127429e-59,1.53723471905462e-57
Rap1b,11.6878737991801,2.21891126827777,7.34927259733829e-66,5.98176684349001e-64
Gm10910,7.61040970668158,-2.21752221528045,7.589342306568339e-26,1.03588276112389e-24
Dnajc2,7.81800512608995,2.21704386229894,9.318848812310781e-60,6.03088620453303e-58
Nol7,8.41632839662367,2.21567087340382,7.45233125225269e-48,3.0993755085779403e-46
Cep55,7.21667850391341,2.2154184434668,2.02434614733756e-48,8.663548495718541e-47
Fxr1,9.04659352344776,2.21533538703962,7.9487442212958e-64,5.89139606614142e-62
Srsf5,11.4388207246685,2.21335013717351,9.467921183066989e-33,1.96574194578638e-31
Thoc2,7.2268135546055,2.21255641723625,1.00473753582311e-35,2.4458445665624097e-34
Atp6v1e1,10.7328799272848,2.20608733641686,3.46030369238632e-81,4.5907849086889296e-79
Shoc2,7.69276078088919,2.20568774163456,2.86599110478299e-49,1.26743679957186e-47
Skiv2l2,8.29049889719522,2.20562783553837,3.2617719815966005e-16,2.17347709090116e-15
Spty2d1,8.0423053756305,2.20547448196746,1.1028390419210901e-38,3.01677640601383e-37
Rsrc1,9.11341661148595,2.20538570441413,3.9458724433089e-80,5.08251356362905e-78
Acin1,9.75212507407077,2.2048341870468,1.15457640896674e-65,9.28349407137076e-64
Sbno1,8.98218155305562,2.20326130487865,1.11763648381134e-25,1.5053485513426401e-24
Iqgap1,14.1941936191609,2.19982866139561,9.44155021732042e-17,6.592686670167901e-16
Smox,9.97900830890011,-2.19487134531363,2.69123093714403e-13,1.4095760301259299e-12
Orc3,7.2556187498396,2.19476355098945,1.2335669641836199e-42,4.17493186577144e-41
Eif3a,11.0816729814047,2.19446692633379,7.24618165704401e-33,1.5163263729338e-31
Zfx,8.01169316695351,2.19068445919433,1.04278195933252e-13,5.6306830502501e-13
Dym,9.94593148047277,-2.18725538750458,1.12675503372325e-22,1.22832038064144e-21
Ahctf1,9.40841820353474,2.18399410191846,1.85775198158993e-29,3.0770031884836e-28
Exoc5,8.90762094205595,2.18379774655637,1.5998812388907699e-22,1.72706463762114e-21
Prelp,7.0134002230823,-2.18188174396132,3.51929135740577e-07,1.05206035238176e-06
Zbtb11,7.67938235262774,2.18146944748934,4.421737899957991e-31,8.147666210936479e-30
Hist1h1b,12.5753242157811,-2.18068714164142,5.95134741940248e-19,4.95025242716067e-18
Mtap7d3,7.26659135770862,2.1732663026907,1.8881375201371802e-47,7.75539333735601e-46
Dennd3,8.68598977409728,-2.17264039607662,6.59021557856225e-62,4.57761204611442e-60
Arfgef1,8.42841833533773,2.17150376324918,1.66271631996616e-57,1.01189254206381e-55
Rnmt,8.07350934594462,2.17118400426801,3.26867360785766e-21,3.2027690365914104e-20
Ctcf,8.78670071973677,2.16760088889702,1.18566762862412e-81,1.58891438676325e-79
Il1a,8.41653366019958,2.16070159113275,3.04416804915746e-12,1.45801362845387e-11
Bgn,7.0712388794734,-2.15460013611547,5.06063959430609e-06,1.35909930157204e-05
D830046C22Rik,7.01231414836453,-2.15348813079809,1.16711768578063e-31,2.24733676883187e-30
Ube2o,9.0101201121342,-2.15340707623268,2.9427983486920495e-11,1.29022160251479e-10
Prr33,7.51301473421378,-2.15330925293755,2.1933303470515202e-23,2.51503143598379e-22
Lcp1,14.389509040773,2.15124189449317,7.65698361908467e-22,7.850479263863711e-21
Nedd9,11.8139565080866,2.15072751695819,2.64232474523199e-23,3.01424956104839e-22
A230046K03Rik,8.14745227942906,2.14911142237635,8.26823091691711e-39,2.27111013612297e-37
Erlin1,7.90342162256256,2.14773408803347,1.63268016013448e-44,5.95076035288576e-43
Upf2,7.20021747805309,2.14280129705036,1.7364117769929e-36,4.4216842697437205e-35
Jmjd1c,8.84518510128714,2.14171300873921,2.38731267714497e-80,3.1051448321257196e-78
Azi2,8.7970535206298,2.14090021641746,7.06894308921652e-70,6.29420590366681e-68
Uchl3,9.50816616559863,2.13971482088981,1.03740901543099e-83,1.54643880985651e-81
Adam10,10.5591380556424,2.13815382328912,2.86410467110934e-72,2.8146723460450098e-70
Opa1,8.94074181455901,2.13627909888402,7.26703194775904e-66,5.9513402994394597e-64
Clec1b,7.87502402525708,2.13168335197411,4.38398799973231e-34,9.791644577853289e-33
Bmpr2,9.7628087947866,2.12482987745378,1.13693152350524e-34,2.5961567164103297e-33
Syap1,9.1979845333756,2.12203194125852,8.16311417497987e-92,1.40649397090205e-89
Gtf2f1,9.48690483670695,2.1214773717206,7.92415140164455e-46,3.05609641411681e-44
Zfr,9.36726305946365,2.1186266912894,3.44240766144624e-64,2.56575406991052e-62
Phf3,8.76852896419016,2.11682419770513,4.40934912521388e-80,5.62488796578967e-78
Casp8,9.44127274286421,2.11625716098048,1.12896763766471e-16,7.82959417088222e-16
Gpalpp1,8.0903329983729,2.11567964495782,9.22826945438522e-35,2.11453282990205e-33
Tpbgl,8.6968950999665,-2.11485382548743,1.16572256418422e-17,8.747534648773781e-17
Phax,8.81464921871327,2.11451765247837,8.63444113483564e-46,3.3107841195336504e-44
Dhx36,7.23348653153872,2.1095517681273,5.2820779920857e-42,1.7345873445792299e-40
Slc19a1,9.23168786734324,-2.10619780333554,6.70133062606836e-74,7.11252427328392e-72
Cd2ap,7.99521753780488,2.10554224437227,5.7097012218399e-49,2.4836264298409802e-47
Atp6v0d2,13.3301417362675,2.10512933731231,2.58285294367592e-77,3.0324522127211e-75
Vcpip1,8.95522609296351,2.10433113745053,3.2898955494031e-55,1.85732103208217e-53
Snw1,9.01762038736513,2.10382940605143,6.076808641421559e-56,3.47504397610948e-54
Safb2,8.39461155343201,2.10313038936144,6.0218131479498706e-15,3.6248364352926904e-14
Acsl4,8.68718125014325,2.1002761915764,4.9756267892498906e-61,3.31716786999891e-59
Anln,8.50939014636516,2.09805076750714,1.45956056034496e-30,2.61322401539764e-29
Wdfy1,8.82762939738045,-2.09743840112485,2.86743440498663e-15,1.77601551124919e-14
Chordc1,7.55010544505666,2.09401694332636,3.94297127571261e-34,8.83638512075661e-33
Nol8,7.05799172275918,2.09097636127659,2.0539358640911998e-31,3.89279530127113e-30
Wnk1,8.95096084134548,2.08959518850053,2.4736728830561997e-37,6.46027916132019e-36
Smek2,6.97441458980553,2.08771941597821,3.56214052733088e-42,1.18741000944972e-40
Riok3,9.77643303244473,2.08722299354283,7.30375071445225e-39,2.01034980764809e-37
Smc2,6.97074502897279,2.08680872224346,3.03853767022427e-36,7.60609042846516e-35
Grb7,9.13116030418564,-2.08419526361987,3.9788023539505303e-35,9.27711262387728e-34
Acbd5,8.36562377109167,2.08417345211665,6.00649901145815e-48,2.51382405000048e-46
Usp47,9.02673475182089,2.0838810118957,7.34411010034859e-71,6.71960749664309e-69
2810013P06Rik,8.71527087884509,-2.08049856400047,5.95022074382686e-35,1.3728970192756699e-33
Clec4a2,9.98321135642027,2.08007832090526,1.63037465714952e-16,1.11209154634461e-15
Gm1966,8.9086844997119,2.07831992183847,5.31493574742957e-22,5.5217895505989104e-21
Nin,6.91985648691169,2.07756666934857,2.10864690033991e-36,5.3286511289161e-35
Lcor,8.2252074369435,2.07669097651651,4.75300029673065e-39,1.33881220672453e-37
Gspt1,9.77887566714154,2.07650952541487,3.48573763948358e-50,1.6169678763296698e-48
Cdk8,9.79317427513538,-2.07560257642396,9.95981476939002e-20,8.77402805746995e-19
Clec5a,8.30435132166324,2.07559801640726,1.3866228850837e-21,1.3905008175665502e-20
Serpinb1a,9.87791249662827,2.07449870518896,2.50936934651922e-16,1.6873696462377402e-15
Mrpl47,7.6461086415061,2.07311389900083,1.38452764526122e-24,1.7296165978983702e-23
Tspan33,7.16413873702858,-2.07186910088754,0.0003179357317629,0.0007059503520166
Dnajc1,8.18477205348344,2.06445273058559,1.90302326719018e-47,7.79241039685558e-46
Gnai3,9.73530920746069,2.06439026836629,7.465576671041591e-73,7.56074852631365e-71
Naa15,7.83490991928487,2.06390891943682,3.0834736416356403e-61,2.08716555120307e-59
Mef2a,9.53380287339628,2.06194389985817,1.03696725014046e-53,5.63829692934979e-52
Il18,12.8479110230819,2.06116882920783,4.2150390020455497e-16,2.78768307278855e-15
Sltm,6.96185159289952,2.06084733206958,5.75539942317468e-38,1.53019807910338e-36
Col1a1,6.91130875623753,-2.06067044663195,3.33743229970759e-10,1.3300605082673702e-09
Rps6ka3,9.8051504630611,2.06027187091226,2.36368674866448e-41,7.46643621298372e-40
Dstn,12.3651092121683,2.05969013154671,5.19385585564401e-39,1.45680519316763e-37
Dmxl2,7.94503734035063,2.05956936120241,8.71804795874169e-48,3.61444819589456e-46
Tusc1,9.77807712953536,-2.05901890009155,5.46912440280917e-74,5.85152205258623e-72
Tgs1,7.06623871577696,2.05865471594967,3.62888816866224e-36,9.049710401060521e-35
Cenpe,6.87566403785503,2.05633763150282,3.2727999442998895e-36,8.177069088705581e-35
Zc3h13,7.47246520661159,2.05571246335608,1.9830638114678603e-15,1.2404199710864701e-14
Psma1,9.84527223633826,2.05466641091088,3.84254901080312e-34,8.62590486063028e-33
Cetn2,8.31684718360247,2.05400058186369,4.1922752809759204e-17,2.99832432090067e-16
Dcaf13,8.36862771166878,2.05374000567006,4.96930240528639e-28,7.68388519940962e-27
Sdcbp,12.7199665937788,2.05232728145231,5.75886544947535e-15,3.47759981420981e-14
Galnt1,8.43059774313558,2.05123217588461,1.14531735126679e-41,3.6702718114146196e-40
Cltc,10.5989442133953,2.04948971552116,2.90047595167041e-29,4.75069314207547e-28
Pla2g4a,8.35189010907132,2.0481506547269,8.83461904587891e-16,5.692515341509251e-15
Fabp1,11.4044098227505,2.04516751382475,2.83219328479333e-48,1.20431757401773e-46
Dars,10.0924359924999,2.04448662154718,2.0657398717224e-35,4.893959085382329e-34
Clint1,9.25024906378352,2.04428606423126,4.3669137689237494e-49,1.91207409149542e-47
Odf2,8.44323136125282,2.04314969140174,7.799517321970869e-36,1.9091549134794698e-34
Eed,9.51280903554452,-2.03848393746059,5.61578477231607e-26,7.69675791056997e-25
Hist1h4h,7.64370590121363,-2.03725174021778,9.61136022934667e-40,2.79635781058645e-38
Scyl2,8.84442244501783,2.03712793373425,1.06881872697262e-63,7.8342641164341e-62
Tcf12,8.26893181252646,2.03598459831513,4.99036763392916e-40,1.47454804898303e-38
Lypd2,7.77185624083622,-2.03552291005043,2.0806066691818403e-15,1.2995955122427201e-14
H2-Ab1,11.5338028733963,2.0330871691678,9.61414360797182e-27,1.38042038146063e-25
Ifih1,7.58689189997545,2.03128165694199,1.84545896917214e-32,3.7436856489306995e-31
Eif4g1,11.8061188256252,2.02791824547445,1.4388809039617e-14,8.376319856454511e-14
Rap1a,9.9694065086663,2.02740890168507,4.72203542589614e-48,1.98470290687326e-46
Prc1,8.08746284125034,2.02685056304948,4.1733415003347e-37,1.08140081415899e-35
Fyco1,8.88605640909695,2.02461945332893,3.54859401386054e-32,7.090240479199971e-31
Hist1h1e,13.33714179092,-2.02433538068099,2.7469739198964696e-30,4.7826906817934996e-29
C1d,8.11749881024121,2.02374370456302,9.74153761643336e-27,1.3956909239440701e-25
Vaultrc5,8.64583353041911,-2.02287279373934,2.49375424092693e-15,1.5503578966437502e-14
Erap1,8.94338985917497,2.02242256657092,4.76897437774725e-32,9.38723784415026e-31
Ppil4,7.05279444469099,2.02192430253217,5.438888756087979e-42,1.7772841656901299e-40
Ddx52,7.11958962074112,2.02101763826784,6.509452075426199e-43,2.23154782130955e-41
Pcf11,7.66148121639613,2.0202617516259,2.65759887478603e-23,3.02906909551428e-22
Usp45,8.3037807481771,2.01853423601013,6.39592106443165e-49,2.77302891378479e-47
Nusap1,6.99631655464835,2.01450837582956,2.66762572887338e-38,7.22273276427818e-37
Nemf,7.39231742277876,2.01228401616306,3.3387937929197203e-31,6.2388418662909696e-30
Mut,8.12210898405723,2.0120343319065,8.03874993865583e-27,1.1605015825478402e-25
Lrrfip2,9.23346988752208,2.00729423632503,1.14705606413403e-81,1.55285640845573e-79
Vps35,8.53414073634141,2.00638946211875,4.63000996889041e-13,2.38130672891349e-12
Nr3c1,8.86313228974858,2.00637057828136,6.9327347241819e-24,8.23425170865902e-23
Ripk1,8.83011902544452,2.00577356076688,1.06568287551136e-23,1.2511871424256001e-22
Chd4,10.9357226742025,2.00494922978745,7.00129400417655e-18,5.36604087541365e-17
Pde4b,9.27714207703369,2.0021015515078,9.84708859994229e-71,8.94803592160509e-69
